CODCNSLDD,CODIGO,SEEKVIV,CODVIV,CICLO
4101   1000680000000027,253,4101   1253,000000033551,1
4101   1000680000000027,254,4101   1254,000000033552,1
4101   1000680000000027,255,4101   1255,000000033553,1
4101   1000680000000027,256,4101   1256,000000033554,1
4101   1000680000000027,257,4101   1257,000000033555,1
4101   1000680000000027,258,4101   1258,000000033556,1
4101   1000680000000027,259,4101   1259,000000033557,1
4101   1000680000000027,260,4101   1260,000000033558,1
4101   1000680000000027,261,4101   1261,000000033559,1
4101   1000680000000027,264,4101   1264,000000033560,1
4101   1000680000000027,266,4101   1266,000000033561,1
4101   1000680000000027,275,4101   1275,000000033562,1
4101   1000680000000027,276,4101   1276,000000033563,1
4101   1000680000000027,277,4101   1277,000000033564,1
4101   1000680000000027,278,4101   1278,000000033565,1
4101   1000680000000027,279,4101   1279,000000033566,1
4101   1000680000000027,280,4101   1280,000000033567,1
4101   1000680000000027,282,4101   1282,000000033568,1
4101   1000680000000027,283,4101   1283,000000033569,1
4101   1000680000000027,289,4101   1289,000000033570,1
4101   1000680000000027,290,4101   1290,000000033571,1
4101   1000680000000027,291,4101   1291,000000033572,1
4101   1000680000000027,292,4101   1292,000000033573,1
4101   1000680000000027,293,4101   1293,000000033574,1
4101   1000680000000027,294,4101   1294,000000033575,1
4101   1000680000000027,295,4101   1295,000000033576,1
4101   1000680000000027,296,4101   1296,000000033577,1
4101   1000680000000027,297,4101   1297,000000033578,1
4101   1000680000000027,298,4101   1298,000000033579,1
4101   1000680000000027,299,4101   1299,000000033580,1
4101   1000680000000027,300,4101   1300,000000033581,1
4103   1000680000000058,1,4103   11,000000033658,1
4103   1000680000000058,6,4103   16,000000033659,1
4103   1000680000000058,125,4103   1125,000000033660,1
4104   1000680000000033,1,4104   11,000000033716,1
4104   1000680000000033,2,4104   12,000000033717,1
4104   1000680000000033,4,4104   14,000000033718,1
4104   1000680000000033,9,4104   19,000000033719,1
4104   1000680000000033,10,4104   110,000000033720,1
4104   1000680000000033,14,4104   114,000000033721,1
4104   1000680000000033,15,4104   115,000000033722,1
4104   1000680000000033,16,4104   116,000000033723,1
4104   1000680000000033,17,4104   117,000000033724,1
4104   1000680000000033,21,4104   121,000000033725,1
4104   1000680000000033,22,4104   122,000000033726,1
4104   1000680000000033,23,4104   123,000000033727,1
4104   1000680000000033,24,4104   124,000000033728,1
4104   1000680000000033,26,4104   126,000000033729,1
4104   1000680000000033,42,4104   142,000000033730,1
4104   1000680000000033,55,4104   155,000000033731,1
4104   1000680000000033,57,4104   157,000000033732,1
4104   1000680000000033,62,4104   162,000000033733,1
4104   1000680000000033,63,4104   163,000000033734,1
4104   1000680000000033,64,4104   164,000000033735,1
4104   1000680000000033,67,4104   167,000000033736,1
4104   1000680000000033,68,4104   168,000000033737,1
4104   1000680000000033,69,4104   169,000000033738,1
4104   1000680000000033,70,4104   170,000000033739,1
