CODCNSLDD,CODIGO,SEEKVIV,CODVIV,CICLO
1102   1000590000000619,311,1102   1311,000000029765,1
1102   1000590000000619,342,1102   1342,000000029766,1
1102   1000590000000619,391,1102   1391,000000029767,1
1102   1000590000000619,401,1102   1401,000000029768,1
1102   1000590000000619,443,1102   1443,000000029769,1
1102   1000430000000623,453,1102   1453,000000029928,1
1102   1000430000000623,454,1102   1454,000000029929,1
1102   1000430000000623,455,1102   1455,000000029930,1
1102   1000430000000623,456,1102   1456,000000029931,1
1102   1000430000000623,457,1102   1457,000000029932,1
1102   1000430000000623,465,1102   1465,000000029933,1
1102   1000430000000623,466,1102   1466,000000029934,1
1102   1000430000000623,499,1102   1499,000000029935,1
1102   1000430000000623,608,1102   1608,000000029936,1
1102   1000430000000623,661,1102   1661,000000029937,1
1102   1000430000000623,663,1102   1663,000000029938,1
1102   1000430000000623,682,1102   1682,000000029939,1
1102   1000430000000623,686,1102   1686,000000029940,1
1102   1000430000000623,689,1102   1689,000000029941,1
1102   1000430000000623,713,1102   1713,000000029942,1
1102   1000430000000623,725,1102   1725,000000029943,1
1102   1000430000000623,783,1102   1783,000000029944,1
1102   1000430000000623,795,1102   1795,000000029945,1
1102   1000430000000623,878,1102   1878,000000029946,1
1102   1000430000000623,879,1102   1879,000000029947,1
1102   1000200000000627,923,1102   1923,000000030105,1
1102   1000200000000627,936,1102   1936,000000030106,1
1102   1000200000000627,943,1102   1943,000000030107,1
1102   1000200000000627,947,1102   1947,000000030108,1
1102   1000200000000627,1052,1102   11052,000000030109,1
1102   1000200000000627,1201,1102   11201,000000030110,1
1102   1000200000000627,1279,1102   11279,000000030111,1
1102   1000200000000627,1288A,1102   11288A,000000030112,1
1102   1000560000000632,1355,1102   11355,000000030242,1
1102   1000560000000632,1455,1102   11455,000000030243,1
1102   1000560000000632,1456,1102   11456,000000030244,1
1102   1000560000000632,1457,1102   11457,000000030245,1
1102   1000560000000632,1458,1102   11458,000000030246,1
1102   1000560000000632,1459,1102   11459,000000030247,1
1102   1000560000000632,1472,1102   11472,000000030248,1
1102   1000560000000632,1511,1102   11511,000000030249,1
1102   1000560000000632,1552,1102   11552,000000030250,1
1102   1000560000000632,1646,1102   11646,000000030251,1
1102   1000560000000632,1775,1102   11775,000000030252,1
