UNICODE,P,D,L,V,CICLO_ROCIADO ,STATUS
1.4.236.297,1,4,236,297,1,C
1.4.236.309,1,4,236,309,1,C
1.4.236.332,1,4,236,332,1,C
1.4.236.344,1,4,236,344,1,C
1.4.236.345,1,4,236,345,1,C
1.4.236.354,1,4,236,354,1,C
1.4.236.356,1,4,236,356,1,C
1.4.236.367,1,4,236,367,1,C
1.4.236.379,1,4,236,379,1,C
1.4.236.409,1,4,236,409,1,C
1.4.236.411,1,4,236,411,1,C
1.4.236.410,1,4,236,410,1,C
1.4.236.413,1,4,236,413,1,C
1.4.236.416,1,4,236,416,1,C
1.4.236.417,1,4,236,417,1,C
1.4.236.292,1,4,236,292,1,R
1.4.236.300,1,4,236,300,1,R
1.4.236.319,1,4,236,319,1,R
1.4.236.350,1,4,236,350,1,R
1.4.236.357,1,4,236,357,1,R
1.4.236.358,1,4,236,358,1,R
1.4.236.365,1,4,236,365,1,R
1.4.236.394,1,4,236,394,1,R
1.4.236.396,1,4,236,396,1,R
1.4.236.398,1,4,236,398,1,R
1.4.236.423,1,4,236,423,1,R
1.4.236.428,1,4,236,428,1,R
1.4.236.436,1,4,236,436,1,R
1.4.236.427,1,4,236,427,1,DES
